Subject_ID,PC1,PC2
,,
002_S_0295,2.370923966,-0.693113895
,,
002_S_0295,2.372281762,-1.203138316
,,
002_S_0295,2.372031102,-0.698525804
,,
002_S_0295,2.407099925,-0.976808054
,,
002_S_0413,1.672812758,-0.126493811
,,
002_S_0413,1.236724264,0.096253503
,,
002_S_0413,1.67124412,-0.111068459
,,
002_S_0413,1.566480843,0.003705887
,,
002_S_0619,12.93087232,3.287687052
,,
002_S_0619,11.01463297,2.66771868
,,
002_S_0619,13.14620869,3.300931078
,,
002_S_0619,3.274377849,0.367081114
,,
002_S_0619,12.47966942,3.292650272
,,
002_S_0685,1.396280098,-0.275739656
,,
002_S_0685,1.947560586,-0.68264588
,,
002_S_0685,1.057695305,-0.044044732
,,
002_S_0685,0.719146222,-1.622576906
,,
002_S_0685,1.939946779,-0.667425096
,,
002_S_0729,1.220855867,-0.591294678
,,
002_S_0729,1.51261287,-0.445216177
,,
002_S_0729,2.120149682,-0.425384926
,,
002_S_0729,1.654829011,-0.211348659
,,
002_S_0729,1.486072093,-0.593187923
,,
002_S_0729,1.509587325,-0.457521444
,,
002_S_0782,1.3978245,-0.377398715
,,
002_S_0782,1.161549697,0.073611009
,,
002_S_0782,1.116191868,-0.052469825
,,
002_S_0782,1.329538634,-0.019937289
,,
002_S_0782,0.943902471,-0.042377193
,,
002_S_0782,1.138650626,0.111008518
,,
002_S_0938,2.579742555,-0.597939887
,,
002_S_0938,2.124351037,-0.608105186
,,
002_S_1070,1.002704815,0.150511018
,,
002_S_1070,2.323041181,-0.916995918
,,
002_S_1070,2.450668999,-0.697858289
,,
002_S_1070,1.610968323,-0.4970154
,,
002_S_1070,1.568316705,-0.634310869
,,
002_S_1155,2.403406343,0.078444332
,,
002_S_1155,2.319449511,-0.946562373
,,
002_S_1155,2.321800356,-1.251769542
,,
002_S_1155,2.236652086,-0.989060638
,,
002_S_1155,2.319957211,-0.755732251
,,
002_S_1261,1.973283071,-0.329279891
,,
002_S_1261,1.69393477,-0.230369837
,,
002_S_1261,1.652555426,-0.271771563
,,
002_S_1261,1.960118061,-0.424017657
,,
002_S_1268,1.047819219,0.320502916
,,
002_S_1268,0.886618769,-0.002403896
,,
002_S_1268,1.244213018,0.471926958
,,
002_S_1268,1.224595545,0.386867551
,,
002_S_1268,1.26469798,0.195656842
,,
002_S_1280,1.158790226,-0.099340077
,,
002_S_1280,1.894995375,-0.886072185
,,
002_S_1280,1.106462384,0.741075376
,,
002_S_1280,1.313886663,1.067588768
,,
003_S_0907,-0.515642219,0.274490538
,,
003_S_0907,-0.606324459,0.516800281
,,
003_S_0907,-0.560348227,0.512265763
,,
003_S_0907,-0.659072865,0.42541311
,,
003_S_0908,-0.222560158,-0.566697704
,,
003_S_0908,0.652315029,-0.983868312
,,
003_S_0908,0.093473758,-0.94693278
,,
003_S_0908,-0.849308745,0.043568173
,,
003_S_0908,-0.770794998,0.516935259
,,
003_S_0981,-0.383835693,-0.258679116
,,
003_S_0981,0.13013315,-1.075792782
,,
003_S_0981,-0.41774909,0.386186106
,,
003_S_0981,-0.408274798,-0.038487054
,,
003_S_1122,0.027248897,-0.758054073
,,
